Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,13,2049,2062,Buthidaung,MMR012010
 Rural,13,9189,9202,Buthidaung,MMR012010
 Total,26,11238,11264,Buthidaung,MMR012010
