Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,93,32744,32837,Hline,MMR013040
 Total,93,32744,32837,Hline,MMR013040
