Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,57,5270,5327,Yame`thin,MMR010023
 Rural,231,51701,51932,Yame`thin,MMR010023
 Total,288,56971,57259,Yame`thin,MMR010023
