Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,76,9978,10054,Phyapon,MMR017023
 Rural,821,30755,31576,Phyapon,MMR017023
 Total,897,40733,41630,Phyapon,MMR017023
