Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,35,1622,1657,Ngazun,MMR010021
 Rural,252,25929,26181,Ngazun,MMR010021
 Total,287,27551,27838,Ngazun,MMR010021
