Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,102,1367,1469,Monekoe(ST),MMR015009
 Rural,95,2794,2889,Monekoe(ST),MMR015009
 Total,197,4161,4358,Monekoe(ST),MMR015009
