Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,25,577,602,Kyauktalongyi(ST),MMR014001
 Rural,417,11246,11663,Kyauktalongyi(ST),MMR014001
 Total,442,11823,12265,Kyauktalongyi(ST),MMR014001
