Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,64,24658,24722,Zabuthiri,MMR018002
 Rural,14,1584,1598,Zabuthiri,MMR018002
 Total,78,26242,26320,Zabuthiri,MMR018002
