Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,164,2606,2770,Pinlaung,MMR014009
 Rural,889,21845,22734,Pinlaung,MMR014009
 Total,1053,24451,25504,Pinlaung,MMR014009
