Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,289,11426,11715,Thanbyuzayat,MMR011004
 Rural,981,23538,24519,Thanbyuzayat,MMR011004
 Total,1270,34964,36234,Thanbyuzayat,MMR011004
