Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,237,2253,2490,Tada(ST),MMR013024
 Rural,566,6437,7003,Tada(ST),MMR013024
 Total,803,8690,9493,Tada(ST),MMR013024
