Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,136,1947,2083,Mineshu,MMR014017
 Rural,355,6763,7118,Mineshu,MMR014017
 Total,491,8710,9201,Mineshu,MMR014017
