Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,86,1456,1542,Kunhing,MMR014014
 Rural,234,2794,3028,Kunhing,MMR014014
 Total,320,4250,4570,Kunhing,MMR014014
