Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,15,4880,4895,Ottarathiri,MMR018008
 Rural,63,13703,13766,Ottarathiri,MMR018008
 Total,78,18583,18661,Ottarathiri,MMR018008
