Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,102,14354,14456,Pyinmana,MMR018006
 Rural,185,25022,25207,Pyinmana,MMR018006
 Total,287,39376,39663,Pyinmana,MMR018006
