Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,246,5753,5999,Kyonpyaw,MMR017005
 Rural,2431,51058,53489,Kyonpyaw,MMR017005
 Total,2677,56811,59488,Kyonpyaw,MMR017005
