Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,44,32681,32725,South Okkalapa,MMR013011
 Total,44,32681,32725,South Okkalapa,MMR013011
