Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,8,10298,10306,Pazuntaung,MMR013016
 Total,8,10298,10306,Pazuntaung,MMR013016
