Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,29,2437,2466,Ponnagyun,MMR012002
 Rural,67,22802,22869,Ponnagyun,MMR012002
 Total,96,25239,25335,Ponnagyun,MMR012002
