Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,18,2452,2470,Pauktaw,MMR012007
 Rural,16,28058,28074,Pauktaw,MMR012007
 Total,34,30510,30544,Pauktaw,MMR012007
