Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,322,4519,4841,Nanhsam(South),MMR014013
 Rural,3000,11022,14022,Nanhsam(South),MMR014013
 Total,3322,15541,18863,Nanhsam(South),MMR014013
