Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,179,810,989,Mineyan,MMR016003
 Rural,2292,6838,9130,Mineyan,MMR016003
 Total,2471,7648,10119,Mineyan,MMR016003
