Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,37,1756,1793,Tagaung,MMR010012
 Rural,101,5498,5599,Tagaung,MMR010012
 Total,138,7254,7392,Tagaung,MMR010012
