Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,67,9797,9864,Kyauktan,MMR013024
 Rural,1519,21593,23112,Kyauktan,MMR013024
 Total,1586,31390,32976,Kyauktan,MMR013024
