Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,223,4069,4292,Pantanaw,MMR017020
 Rural,2728,53257,55985,Pantanaw,MMR017020
 Total,2951,57326,60277,Pantanaw,MMR017020
