Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,49,1284,1333,Minepyin,MMR016007
 Rural,101,9171,9272,Minepyin,MMR016007
 Total,150,10455,10605,Minepyin,MMR016007
