Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,90,4164,4254,Kyaukpyu,MMR012011
 Rural,216,32794,33010,Kyaukpyu,MMR012011
 Total,306,36958,37264,Kyaukpyu,MMR012011
