Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,253,8849,9102,Kengtung,MMR016001
 Rural,1554,23440,24994,Kengtung,MMR016001
 Total,1807,32289,34096,Kengtung,MMR016001
