Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,257,4279,4536,Hopon,MMR014003
 Rural,873,19319,20192,Hopon,MMR014003
 Total,1130,23598,24728,Hopon,MMR014003
