Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,148,19681,19829,Hinthada,MMR017008
 Rural,2523,63777,66300,Hinthada,MMR017008
 Total,2671,83458,86129,Hinthada,MMR017008
