Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,248,871,1146,1394,1255,1611,1374,1600,1479,1491,1452,1440,1369,1714,1111,1801,1033,1276,976,967,1302,823,965,1139,801,1432,638,871,774,673,1078,655,681,756,522,1035,501,695.0,606,481,874,494,493,562,356,843,363,503,460,420,556,391,343,356,193,425,159,183,175,134,213,85,124,75,49,72,34,40,40,41,67,31,21,44,19,38,11,21,13,17,21,10,9,11,6,31,51462,Hsipaw,MMR015014
 Illiterate,1435,849,479,435,302,348,212,255,212,208,282,251,249,447,228,557,234,327,275,253,674,278,325,526,316,1084,236,434,303,282,893,334,343,479,277,1196,252,434.0,448,340,1084,370,354,490,265,1074,225,368,337,307,627,378,281,337,174,788,143,239,205,175,399,132,169,158,47,429,53,88,98,66,191,62,45,87,31,196,18,44,31,22,53,20,24,16,13,126,28131,Hsipaw,MMR015014
 Total,1683,1720,1625,1829,1557,1959,1586,1855,1691,1699,1734,1691,1618,2161,1339,2358,1267,1603,1251,1220,1976,1101,1290,1665,1117,2516,874,1305,1077,955,1971,989,1024,1235,799,2231,753,1129.0,1054,821,1958,864,847,1052,621,1917,588,871,797,727,1183,769,624,693,367,1213,302,422,380,309,612,217,293,233,96,501,87,128,138,107,258,93,66,131,50,234,29,65,44,39,74,30,33,27,19,157,79593,Hsipaw,MMR015014
