Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,555,1325,1527,1652,1501,1703,1577,1855,1861,1575,1311,1220,1067,1405,918,1294,847,997,981,913,1127,829,851,1050,857,1219,736,903,817,627,994,727,784,982,594,998,646,896.0,755,655,938,584,525,609,458,717,396,522,569,460,508,429,339,370,235,444,207,241,264,242,370,198,177,147,89,269,74,148,134,71,177,83,60,83,35,107,24,39,37,28,39,23,28,19,12,56,54715,Kyaukpyu,MMR012011
 Illiterate,1069,412,205,133,79,68,63,96,113,79,114,127,107,191,119,229,133,180,211,189,345,226,259,353,224,467,205,408,347,285,470,295,335,420,239,489,208,358.0,346,299,559,310,282,450,229,588,281,401,397,325,509,369,266,323,170,641,174,289,340,287,525,235,279,234,106,596,145,212,232,147,383,165,133,211,80,363,80,116,101,70,139,60,41,34,23,125,22520,Kyaukpyu,MMR012011
 Total,1624,1737,1732,1785,1580,1771,1640,1951,1974,1654,1425,1347,1174,1596,1037,1523,980,1177,1192,1102,1472,1055,1110,1403,1081,1686,941,1311,1164,912,1464,1022,1119,1402,833,1487,854,1254.0,1101,954,1497,894,807,1059,687,1305,677,923,966,785,1017,798,605,693,405,1085,381,530,604,529,895,433,456,381,195,865,219,360,366,218,560,248,193,294,115,470,104,155,138,98,178,83,69,53,35,181,77235,Kyaukpyu,MMR012011
