Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,519,1128,1242,1195,1244,1274,1321,1482,1531,1330,1298,1259,1281,1448,1148,1568,1173,1275,1243,1100,1500,1029,1293,1311,1180,1676,1057,1218,1249,959,1632,1023,1183,1190,917,1362,832,1195.0,1114,757,1315,773,983,929,682,1163,675,730,787,686,946,504,598,582,423,741,372,425,465,316,552,287,412,235,191,405,148,233,206,148,356,138,184,209,80,228,80,113,108,69,110,47,75,43,37,153,67678,Khin U,MMR005005
 Illiterate,703,119,43,24,19,20,8,10,14,7,8,14,17,31,15,26,15,16,12,8,40,20,35,26,18,61,16,30,22,27,55,26,24,44,38,69,30,52.0,40,36,90,36,65,67,33,97,39,43,50,38,71,37,45,59,39,73,34,46,59,33,116,33,66,49,35,132,42,36,54,48,116,44,64,73,33,101,37,48,41,36,57,19,32,26,9,88,4327,Khin U,MMR005005
 Total,1222,1247,1285,1219,1263,1294,1329,1492,1545,1337,1306,1273,1298,1479,1163,1594,1188,1291,1255,1108,1540,1049,1328,1337,1198,1737,1073,1248,1271,986,1687,1049,1207,1234,955,1431,862,1247.0,1154,793,1405,809,1048,996,715,1260,714,773,837,724,1017,541,643,641,462,814,406,471,524,349,668,320,478,284,226,537,190,269,260,196,472,182,248,282,113,329,117,161,149,105,167,66,107,69,46,241,72005,Khin U,MMR005005
