Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,541,1163,1416,1261,1346,1393,1372,1497,1438,1310,1247,1113,1323,1458,1139,1721,1206,1241,1364,1151,1647,1174,1497,1375,1266,1826,1192,1317,1335,1024,1635,944,1288,1172,946,1430,829,1131.0,1046,766,1327,759,903,869,715,1161,645,695,790,560,1010,477,669,621,400,783,407,436,497,396,613,248,377,247,167,415,152,233,239,173,401,96,145,136,44,153,75,65,67,58,81,19,36,26,20,109,69055,Ayartaw,MMR005014
 Illiterate,656,98,44,27,14,12,12,18,24,19,21,11,23,40,24,58,20,45,47,45,87,52,77,73,72,151,59,83,102,72,182,75,118,121,92,177,81,115.0,140,81,262,105,183,155,122,284,98,135,159,108,254,107,155,156,105,298,107,146,169,122,319,83,216,127,88,327,73,128,126,93,265,66,98,136,60,200,58,95,91,55,112,32,57,27,10,116,9556,Ayartaw,MMR005014
 Total,1197,1261,1460,1288,1360,1405,1384,1515,1462,1329,1268,1124,1346,1498,1163,1779,1226,1286,1411,1196,1734,1226,1574,1448,1338,1977,1251,1400,1437,1096,1817,1019,1406,1293,1038,1607,910,1246.0,1186,847,1589,864,1086,1024,837,1445,743,830,949,668,1264,584,824,777,505,1081,514,582,666,518,932,331,593,374,255,742,225,361,365,266,666,162,243,272,104,353,133,160,158,113,193,51,93,53,30,225,78611,Ayartaw,MMR005014
