Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,140,360,511,597,553,613,542,592,528,465,402,343,321,405,272,421,251,248,234,223,251,197,152,236,139,199,126,158,111,120,155,123,111,135,85,132,91,124.0,90,79,104,84,72,83,69,96,49,61,63,38,46,38,43,40,21,43,26,13,17,10,22,3,10,6,10,12,3,2,4,4,13,7,2,11,1,1,3,3,1,2,3,-,-,-,-,5,11979,Minesat,MMR016006
 Illiterate,1141,808,721,596,399,474,278,348,279,341,466,305,304,495,291,733,266,277,286,256,788,281,289,404,257,1039,262,253,199,276,771,308,207,316,209,866,252,224.0,235,224,576,198,141,210,141,674,151,139,113,150,252,128,80,121,86,445,69,59,48,61,180,53,50,61,38,255,42,29,27,24,71,17,17,19,14,89,16,15,11,8,20,7,7,9,3,66,21714,Minesat,MMR016006
 Total,1281,1168,1232,1193,952,1087,820,940,807,806,868,648,625,900,563,1154,517,525,520,479,1039,478,441,640,396,1238,388,411,310,396,926,431,318,451,294,998,343,348.0,325,303,680,282,213,293,210,770,200,200,176,188,298,166,123,161,107,488,95,72,65,71,202,56,60,67,48,267,45,31,31,28,84,24,19,30,15,90,19,18,12,10,23,7,7,9,3,71,33693,Minesat,MMR016006
