Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,348,731,898,762,833,877,900,976,1016,955,914,828,939,1036,861,975,897,928,948,854,1038,819,904,950,834,1080,883,876,919,794,1099,867,892,983,921,993,696,1010.0,897,760,908,789,829,921,716,911,753,769,876,670,874,717,656,698,568,779,559,540,531,382,536,332,389,256,164,262,154,238,234,199,332,188,184,226,121,224,133,137,142,98,117,85,46,37,29,127,55127,Gyobingauk,MMR008014
 Illiterate,456,92,32,31,21,22,13,17,20,15,21,13,18,23,10,24,32,9,21,19,27,15,18,15,17,36,15,18,27,23,30,15,21,22,21,31,14,34.0,24,20,26,17,16,34,15,24,21,20,25,22,34,29,30,25,19,37,23,19,31,28,34,14,12,11,12,19,5,20,22,25,36,26,15,26,7,28,19,16,8,10,10,9,4,2,2,13,2252,Gyobingauk,MMR008014
 Total,804,823,930,793,854,899,913,993,1036,970,935,841,957,1059,871,999,929,937,969,873,1065,834,922,965,851,1116,898,894,946,817,1129,882,913,1005,942,1024,710,1044.0,921,780,934,806,845,955,731,935,774,789,901,692,908,746,686,723,587,816,582,559,562,410,570,346,401,267,176,281,159,258,256,224,368,214,199,252,128,252,152,153,150,108,127,94,50,39,31,140,57379,Gyobingauk,MMR008014
