Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,714,1403,1794,1942,1977,2109,1962,2333,2530,2115,2056,1878,1751,2234,1591,1875,1392,1583,1659,1477,1914,1327,1381,1513,1194,1626,1142,1231,1286,900,1384,873,914,1167,785,1143,650,1207.0,965,868,1194,830,775,1001,665,975,668,835,776,638,897,645,465,560,366,631,304,382,387,336,496,254,287,282,170,312,95,143,149,120,239,105,83,112,55,122,37,64,56,63,67,35,21,10,8,54,76614,Myauk U,MMR012003
 Illiterate,1423,598,341,242,150,121,113,159,160,143,195,177,151,211,141,216,138,183,191,173,261,174,225,296,178,326,206,265,235,184,291,199,195,273,163,276,149,281.0,206,200,357,204,212,330,199,407,204,282,274,238,331,248,166,209,125,314,114,177,178,172,304,115,168,132,67,245,65,94,91,73,196,81,73,97,36,185,47,49,48,43,105,35,31,19,16,86,17051,Myauk U,MMR012003
 Total,2137,2001,2135,2184,2127,2230,2075,2492,2690,2258,2251,2055,1902,2445,1732,2091,1530,1766,1850,1650,2175,1501,1606,1809,1372,1952,1348,1496,1521,1084,1675,1072,1109,1440,948,1419,799,1488.0,1171,1068,1551,1034,987,1331,864,1382,872,1117,1050,876,1228,893,631,769,491,945,418,559,565,508,800,369,455,414,237,557,160,237,240,193,435,186,156,209,91,307,84,113,104,106,172,70,52,29,24,140,93665,Myauk U,MMR012003
