Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,456,1185,1407,1324,1271,1452,1343,1526,1572,1451,1300,1213,1269,1353,1049,1429,1058,1113,1066,976,1271,878,1072,1134,1034,1320,994,1050,1005,866,1220,888,1009,974,996,1102,802,1017.0,908,748,1041,748,840,823,659,932,664,740,646,544,675,464,544,534,442,509,364,362,349,276,398,240,313,217,151,289,118,159,132,112,185,82,98,97,41,98,46,56,50,30,51,23,35,23,17,55,60373,Kani,MMR005017
 Illiterate,685,145,70,28,21,24,17,13,9,18,14,11,16,15,14,34,15,18,23,24,44,20,31,30,28,46,29,32,34,21,41,18,39,28,27,58,15,54.0,47,37,81,36,67,69,40,82,42,64,52,52,118,50,69,86,58,138,56,70,82,69,153,71,117,67,63,183,57,66,79,72,160,59,94,71,67,133,45,51,42,44,82,15,27,20,13,61,5186,Kani,MMR005017
 Total,1141,1330,1477,1352,1292,1476,1360,1539,1581,1469,1314,1224,1285,1368,1063,1463,1073,1131,1089,1000,1315,898,1103,1164,1062,1366,1023,1082,1039,887,1261,906,1048,1002,1023,1160,817,1071.0,955,785,1122,784,907,892,699,1014,706,804,698,596,793,514,613,620,500,647,420,432,431,345,551,311,430,284,214,472,175,225,211,184,345,141,192,168,108,231,91,107,92,74,133,38,62,43,30,116,65559,Kani,MMR005017
