Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,133,396,522,540,519,567,560,636,557,546,525,431,418,441,404,465,346,359,302,304,291,239,279,279,214,273,191,236,186,183,213,196,170,202,179,214,131,185.0,187,159,190,163,130,147,113,156,97,141,130,99,118,82,80,84,80,94,51,54,56,48,56,46,30,26,19,29,18,23,29,11,12,13,11,4,5,7,7,11,4,1,3,5,5,3,4,2,15675,Loilem,MMR014011
 Illiterate,393,170,108,87,42,51,38,55,51,55,73,52,61,112,103,120,103,104,84,108,115,102,115,141,117,224,135,145,113,130,186,151,135,154,122,202,113,151.0,149,127,222,126,119,137,121,201,130,133,124,159,187,139,105,109,96,182,59,70,87,77,93,52,55,41,32,81,23,42,53,40,58,36,34,37,27,39,22,26,16,18,28,12,9,7,6,35,8302,Loilem,MMR014011
 Total,526,566,630,627,561,618,598,691,608,601,598,483,479,553,507,585,449,463,386,412,406,341,394,420,331,497,326,381,299,313,399,347,305,356,301,416,244,336.0,336,286,412,289,249,284,234,357,227,274,254,258,305,221,185,193,176,276,110,124,143,125,149,98,85,67,51,110,41,65,82,51,70,49,45,41,32,46,29,37,20,19,31,17,14,10,10,37,23977,Loilem,MMR014011
