Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,52,90,110,145,110,152,111,165,144,104,121,150,131,155,104,176,114,116,129,128,155,115,87,95,73,106,58,73,48,52,59,61,44,44,45,37,27,46.0,25,22,27,26,28,39,20,32,11,23,10,20,21,10,8,9,10,10,4,13,2,4,9,5,6,4,5,3,3,2,4,1,1,-,2,3,4,-,-,1,1,-,2,-,-,-,1,1,4164,Minelar,MMR016005
 Illiterate,228,224,138,156,107,132,101,127,131,92,124,118,111,170,103,205,109,136,129,127,180,148,117,161,100,192,79,127,84,95,160,123,99,171,102,199,108,170.0,126,123,203,117,124,162,117,216,116,126,128,121,134,98,83,136,65,160,57,86,94,68,83,44,50,44,25,68,15,27,22,22,41,21,17,27,6,34,10,14,7,11,16,5,7,4,4,20,8487,Minelar,MMR016005
 Total,280,314,248,301,217,284,212,292,275,196,245,268,242,325,207,381,223,252,258,255,335,263,204,256,173,298,137,200,132,147,219,184,143,215,147,236,135,216.0,151,145,230,143,152,201,137,248,127,149,138,141,155,108,91,145,75,170,61,99,96,72,92,49,56,48,30,71,18,29,26,23,42,21,19,30,10,34,10,15,8,11,18,5,7,4,5,21,12651,Minelar,MMR016005
