Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,621,1598,1880,1772,1861,1844,1869,2030,2101,2126,2179,2070,2192,2353,2180,2508,2083,2106,1996,1758,2232,1697,1935,2117,1849,2456,1797,2003,2027,1560,2254,1512,1722,1843,1562,2106,1371,1825.0,1683,1412,2111,1305,1614,1555,1258,1773,1208,1425,1364,1152,1640,986,1031,970,772,1148,651,779,826,606,973,474,732,493,346,635,294,403,349,264,555,200,283,322,142,311,162,177,169,124,196,98,109,83,54,248,108460,Shwebo,MMR005004
 Illiterate,1077,171,70,45,23,28,13,26,33,28,29,30,40,62,33,70,43,49,46,59,62,36,56,67,40,120,52,69,82,50,154,62,109,92,72,123,60,106.0,105,66,179,75,89,82,69,145,47,84,79,46,127,55,69,69,50,156,60,92,98,82,184,65,129,71,57,209,56,82,101,64,203,67,90,111,54,165,57,67,60,46,88,34,47,33,19,101,7571,Shwebo,MMR005004
 Total,1698,1769,1950,1817,1884,1872,1882,2056,2134,2154,2208,2100,2232,2415,2213,2578,2126,2155,2042,1817,2294,1733,1991,2184,1889,2576,1849,2072,2109,1610,2408,1574,1831,1935,1634,2229,1431,1931.0,1788,1478,2290,1380,1703,1637,1327,1918,1255,1509,1443,1198,1767,1041,1100,1039,822,1304,711,871,924,688,1157,539,861,564,403,844,350,485,450,328,758,267,373,433,196,476,219,244,229,170,284,132,156,116,73,349,116031,Shwebo,MMR005004
