Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,296,1000,1202,1208,1237,1228,1188,1257,1373,1322,958,1032,954,1006,908,971,919,880,863,765,906,805,746,841,813,949,720,811,843,654,851,630,678,797,660,791,588,742.0,696,615,820,555,546,640,495,618,425,509,577,482,529,451,359,381,255,353,200,261,238,184,286,153,180,149,88,140,74,91,106,71,125,79,57,62,20,55,22,30,27,22,45,24,12,14,18,54,46585,Kawthoung,MMR006009
 Illiterate,890,340,137,88,73,51,41,36,37,33,39,29,44,41,32,50,46,45,30,34,58,45,40,46,37,60,34,43,44,32,63,22,41,47,37,78,31,49.0,55,40,67,37,40,46,36,74,26,36,41,37,66,46,34,45,23,71,16,28,37,24,58,18,27,16,11,49,10,12,17,14,44,15,14,16,7,22,10,14,12,8,24,5,8,3,5,34,4321,Kawthoung,MMR006009
 Total,1186,1340,1339,1296,1310,1279,1229,1293,1410,1355,997,1061,998,1047,940,1021,965,925,893,799,964,850,786,887,850,1009,754,854,887,686,914,652,719,844,697,869,619,791.0,751,655,887,592,586,686,531,692,451,545,618,519,595,497,393,426,278,424,216,289,275,208,344,171,207,165,99,189,84,103,123,85,169,94,71,78,27,77,32,44,39,30,69,29,20,17,23,88,50906,Kawthoung,MMR006009
