Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,50,133,197,226,183,279,220,233,207,180,168,147,124,163,109,174,100,97,103,103,172,76,86,108,92,160,62,71,82,65,127,54,53,68,55,128,56,57.0,57,51,111,56,36,67,36,99,36,40,38,47,49,38,28,27,16,57,16,17,12,5,29,7,11,7,4,16,1,5,3,3,6,-,2,6,-,6,2,1,2,2,6,-,1,-,1,4,5832,Minenaung(ST),MMR014015
 Illiterate,341,233,193,194,122,205,89,159,104,74,145,97,53,129,52,213,70,84,85,72,276,76,85,131,68,359,62,101,81,69,276,91,90,117,65,353,60,98.0,102,67,252,77,61,102,66,353,64,64,87,63,174,73,54,74,40,241,23,24,44,26,125,20,20,21,10,118,14,12,14,10,44,7,7,12,5,68,5,7,5,3,11,3,2,4,-,30,7880,Minenaung(ST),MMR014015
 Total,391,366,390,420,305,484,309,392,311,254,313,244,177,292,161,387,170,181,188,175,448,152,171,239,160,519,124,172,163,134,403,145,143,185,120,481,116,155.0,159,118,363,133,97,169,102,452,100,104,125,110,223,111,82,101,56,298,39,41,56,31,154,27,31,28,14,134,15,17,17,13,50,7,9,18,5,74,7,8,7,5,17,3,3,4,1,34,13712,Minenaung(ST),MMR014015
