Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,182,378,414,447,336,467,298,470,375,347,331,324,296,391,206,387,138,225,200,193,269,143,149,198,103,242,92,116,100,79,146,84,84,85,46,133,40,63.0,52,48,103,57,36,57,35,70,30,43,42,32,51,24,14,29,13,23,9,13,9,12,12,7,7,9,3,9,1,2,3,4,5,3,1,5,2,8,-,-,3,1,-,1,2,-,-,6,9473,Manton,MMR015019
 Illiterate,397,189,127,97,45,75,28,51,48,44,63,60,73,120,55,178,62,85,91,80,184,97,73,114,68,384,61,75,80,69,292,103,105,139,73,437,55,90.0,93,90,304,89,90,101,62,419,54,98,105,87,176,108,63,93,47,292,39,52,47,23,111,32,43,31,21,146,11,14,15,14,57,28,12,12,5,75,4,14,8,7,17,8,8,7,1,35,7735,Manton,MMR015019
 Total,579,567,541,544,381,542,326,521,423,391,394,384,369,511,261,565,200,310,291,273,453,240,222,312,171,626,153,191,180,148,438,187,189,224,119,570,95,153.0,145,138,407,146,126,158,97,489,84,141,147,119,227,132,77,122,60,315,48,65,56,35,123,39,50,40,24,155,12,16,18,18,62,31,13,17,7,83,4,14,11,8,17,9,10,7,1,41,17208,Manton,MMR015019
