Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,455,948,1062,961,924,1095,1003,1146,1244,1187,1076,991,1087,1123,887,1178,992,975,960,904,1177,889,1031,1098,1031,1241,878,969,981,782,1278,758,943,1011,855,1079,694,949.0,928,664,1126,695,741,706,628,870,597,634,707,608,799,486,606,546,420,600,436,432,449,324,446,211,393,247,168,307,159,181,170,106,277,85,137,147,61,111,58,68,94,51,73,21,46,34,22,110,55627,Salingyi,MMR005018
 Illiterate,507,65,37,17,18,19,25,17,14,13,7,19,19,27,20,52,24,25,36,31,45,21,45,44,27,66,46,45,38,33,52,25,49,44,32,79,30,62.0,61,37,104,45,83,62,48,110,46,56,84,42,91,41,85,65,51,111,55,67,86,67,144,47,96,74,59,169,48,70,79,61,158,52,68,74,46,89,42,47,38,27,71,8,21,16,11,44,4931,Salingyi,MMR005018
 Total,962,1013,1099,978,942,1114,1028,1163,1258,1200,1083,1010,1106,1150,907,1230,1016,1000,996,935,1222,910,1076,1142,1058,1307,924,1014,1019,815,1330,783,992,1055,887,1158,724,1011.0,989,701,1230,740,824,768,676,980,643,690,791,650,890,527,691,611,471,711,491,499,535,391,590,258,489,321,227,476,207,251,249,167,435,137,205,221,107,200,100,115,132,78,144,29,67,50,33,154,60558,Salingyi,MMR005018
