Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,284,656,775,824,788,865,788,958,1002,888,867,819,857,931,845,1003,818,916,964,883,979,812,838,940,821,1064,703,837,768,685,794,696,571,703,481,676,394,631.0,564,459,546,454,363,443,298,453,283,297,302,313,309,233,188,227,164,232,106,142,124,96,122,72,70,67,39,74,30,38,32,30,40,16,11,19,4,29,7,7,4,9,13,8,1,1,7,13,37483,MuSe,MMR015009
 Illiterate,580,165,68,67,49,37,34,49,47,49,52,58,69,74,56,86,55,85,82,61,118,82,96,131,96,182,85,131,98,117,162,118,112,144,116,189,89,166.0,173,171,244,150,163,212,133,298,111,162,166,161,207,164,144,168,109,269,110,139,121,108,165,87,96,94,47,136,45,70,58,55,94,58,37,61,23,97,34,32,43,37,39,20,19,10,11,61,9267,MuSe,MMR015009
 Total,864,821,843,891,837,902,822,1007,1049,937,919,877,926,1005,901,1089,873,1001,1046,944,1097,894,934,1071,917,1246,788,968,866,802,956,814,683,847,597,865,483,797.0,737,630,790,604,526,655,431,751,394,459,468,474,516,397,332,395,273,501,216,281,245,204,287,159,166,161,86,210,75,108,90,85,134,74,48,80,27,126,41,39,47,46,52,28,20,11,18,74,46750,MuSe,MMR015009
