Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,572,1199,1242,1117,1225,1290,1217,1311,1513,1308,1325,1168,1273,1357,1276,1525,1244,1307,1261,1292,1542,1260,1330,1500,1242,1668,1328,1361,1498,1278,1747,1374,1379,1534,1275,1578,1191,1412.0,1287,1109,1370,1140,1197,1264,1080,1243,993,1082,1232,996,1171,958,861,888,749,1008,699,738,726,599,777,500,529,408,239,438,245,371,337,275,544,288,234,273,174,281,208,200,191,134,173,99,67,67,43,147,80151,Nattalin,MMR008012
 Illiterate,710,153,64,49,44,34,36,27,39,39,27,41,38,48,38,53,38,42,33,26,51,30,51,38,38,61,29,45,45,31,60,32,42,35,38,52,19,39.0,33,22,56,34,35,41,35,50,26,41,49,27,62,37,29,35,35,57,35,30,33,29,50,23,22,20,7,47,12,28,17,20,41,21,23,39,13,36,20,18,19,13,19,12,6,3,8,18,3701,Nattalin,MMR008012
 Total,1282,1352,1306,1166,1269,1324,1253,1338,1552,1347,1352,1209,1311,1405,1314,1578,1282,1349,1294,1318,1593,1290,1381,1538,1280,1729,1357,1406,1543,1309,1807,1406,1421,1569,1313,1630,1210,1451.0,1320,1131,1426,1174,1232,1305,1115,1293,1019,1123,1281,1023,1233,995,890,923,784,1065,734,768,759,628,827,523,551,428,246,485,257,399,354,295,585,309,257,312,187,317,228,218,210,147,192,111,73,70,51,165,83852,Nattalin,MMR008012
