Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,730,1848,2113,2087,2196,2279,2170,2187,2387,2334,2112,1929,1940,2292,1906,2318,1831,2004,1955,1800,2282,1764,1958,2042,1857,2408,1655,1936,1745,1558,2100,1456,1588,1704,1396,1831,1127,1659.0,1506,1199,1760,1217,1248,1207,1100,1321,871,986,956,863,1172,843,777,832,686,886,522,593,548,533,672,390,484,393,267,416,185,210,238,234,399,180,181,164,96,174,81,102,103,85,104,76,49,35,26,121,99575,Yame`thin,MMR010023
 Illiterate,1480,494,189,92,63,41,33,48,43,58,75,69,73,108,90,159,83,129,151,143,251,176,226,270,225,406,215,301,267,256,418,222,311,291,222,435,176,297.0,276,259,458,237,300,276,224,405,206,217,219,258,369,202,228,253,196,413,188,245,229,212,414,172,213,205,148,372,131,166,182,182,428,150,147,177,101,276,88,110,127,90,157,53,74,39,24,181,18863,Yame`thin,MMR010023
 Total,2210,2342,2302,2179,2259,2320,2203,2235,2430,2392,2187,1998,2013,2400,1996,2477,1914,2133,2106,1943,2533,1940,2184,2312,2082,2814,1870,2237,2012,1814,2518,1678,1899,1995,1618,2266,1303,1956.0,1782,1458,2218,1454,1548,1483,1324,1726,1077,1203,1175,1121,1541,1045,1005,1085,882,1299,710,838,777,745,1086,562,697,598,415,788,316,376,420,416,827,330,328,341,197,450,169,212,230,175,261,129,123,74,50,302,118438,Yame`thin,MMR010023
