Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,484,1258,1506,1613,1688,1703,1753,1936,2105,2018,1897,1888,1924,2061,1944,2221,1907,1864,1918,1899,2231,1907,1996,2350,2103,2509,1861,2070,2000,1821,2135,1800,1865,2133,1859,2192,1654,2078.0,1834,1572,2173,1602,1665,1742,1507,1916,1379,1496,1637,1512,1695,1348,1181,1283,1067,1427,909,978,965,763,917,584,628,492,335,538,291,362,422,364,627,346,276,330,186,349,214,191,235,172,198,133,97,75,76,273,112513,Pyay,MMR008001
 Illiterate,1090,413,170,72,62,43,24,23,41,29,36,31,28,59,44,61,35,44,44,41,93,54,66,67,41,74,49,61,66,68,89,46,64,63,54,73,56,83.0,79,63,112,71,75,85,78,98,58,66,71,80,88,64,54,64,53,94,48,67,68,55,84,44,84,50,26,83,46,42,52,52,114,58,55,93,33,78,53,39,48,32,43,24,21,11,15,48,6476,Pyay,MMR008001
 Total,1574,1671,1676,1685,1750,1746,1777,1959,2146,2047,1933,1919,1952,2120,1988,2282,1942,1908,1962,1940,2324,1961,2062,2417,2144,2583,1910,2131,2066,1889,2224,1846,1929,2196,1913,2265,1710,2161.0,1913,1635,2285,1673,1740,1827,1585,2014,1437,1562,1708,1592,1783,1412,1235,1347,1120,1521,957,1045,1033,818,1001,628,712,542,361,621,337,404,474,416,741,404,331,423,219,427,267,230,283,204,241,157,118,86,91,321,118989,Pyay,MMR008001
