Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,116,251,274,265,253,271,234,270,267,282,238,232,217,254,205,306,230,216,241,246,270,212,290,255,220,281,213,243,226,183,240,157,181,207,164,170,140,198.0,146,113,183,119,122,121,117,140,115,109,120,102,132,101,89,85,79,95,49,69,56,50,50,48,54,36,14,48,15,23,29,20,41,27,18,19,13,16,14,8,12,5,16,7,6,4,5,21,11599,Dekkhinathiri,MMR018004
 Illiterate,176,35,9,7,8,5,2,1,-,4,9,4,6,13,7,20,7,7,13,9,16,12,21,20,9,20,12,19,19,16,27,15,18,21,13,16,9,20.0,13,16,24,18,17,22,13,21,8,23,25,14,23,16,7,12,8,21,12,17,14,14,11,13,11,15,3,19,4,6,9,8,17,9,7,7,3,21,4,9,11,4,9,4,4,5,-,7,1223,Dekkhinathiri,MMR018004
 Total,292,286,283,272,261,276,236,271,267,286,247,236,223,267,212,326,237,223,254,255,286,224,311,275,229,301,225,262,245,199,267,172,199,228,177,186,149,218.0,159,129,207,137,139,143,130,161,123,132,145,116,155,117,96,97,87,116,61,86,70,64,61,61,65,51,17,67,19,29,38,28,58,36,25,26,16,37,18,17,23,9,25,11,10,9,5,28,12822,Dekkhinathiri,MMR018004
 Literate,145285,377883,434993,432625,437516,463576,440798,480536,495767,468212,432526,405719,410978,456727,384801,464664,373471,387337,381552,355833,420963,345891,363715,397062,349122,440113,319989,352108,346727,297648,380468,296940,303319,341399,288405,356624,251322,326968.0,296025,259665,333796,252750,251861,268247,219675,283376,201225,223190,229781,199031,238116,184288,172046,176608,138918,189878,117826,128006,126256,105910,136620,87006,97515,73606,50826,83450,42865,52645,53302,45506,74119,40028,34508,40001,21898,38171,20783,22938,22238,18170,21852,13450,11078,8542,6342,27031,20150546,Dekkhinathiri,MMR018004
 Illiterate,311579,96811,49964,39120,25447,29520,17168,23306,23125,20720,27756,22544,22519,33578,22031,46198,21800,27618,28676,26521,51572,28441,32315,41524,30108,67135,27585,37252,36312,31583,61404,33530,35652,44224,30788,67972,26674,41175.0,39470,34744,66926,36084,37034,45047,32541,74532,30223,38365,39640,35768,56660,37609,32771,36405,25942,68330,24283,30686,32577,28830,50722,24154,29596,23349,15747,50704,14442,20727,22077,19770,40615,18733,16766,21883,11556,32671,10557,13115,12623,10256,15897,7267,6500,4810,3702,20241,3044194,Dekkhinathiri,MMR018004
 Total,456864,474694,484957,471745,462963,493096,457966,503842,518892,488932,460282,428263,433497,490305,406832,510862,395271,414955,410228,382354,472535,374332,396030,438586,379230,507248,347574,389360,383039,329231,441872,330470,338971,385623,319193,424596,277996,368143.0,335495,294409,400722,288834,288895,313294,252216,357908,231448,261555,269421,234799,294776,221897,204817,213013,164860,258208,142109,158692,158833,134740,187342,111160,127111,96955,66573,134154,57307,73372,75379,65276,114734,58761,51274,61884,33454,70842,31340,36053,34861,28426,37749,20717,17578,13352,10044,47272,23194740,Dekkhinathiri,MMR018004
