Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,7,10,22,25,29,29,13,17,20,13,12,12,3,11,4,16,9,6,6,10,3,4,2,5,2,9,4,-,1,4,4,3,1,4,2,5,-,2.0,1,-,1,-,1,2,-,1,-,1,-,1,1,-,1,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,343,Monehta(ST),MMR016008
 Illiterate,57,41,45,24,21,17,12,17,14,12,30,23,10,21,9,45,17,18,18,24,50,16,17,25,13,82,3,12,13,12,48,8,7,24,12,70,10,7.0,12,14,31,12,5,5,11,55,5,4,2,3,13,2,1,2,3,12,2,2,4,1,5,1,1,2,-,4,1,-,3,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1129,Monehta(ST),MMR016008
 Total,64,51,67,49,50,46,25,34,34,25,42,35,13,32,13,61,26,24,24,34,53,20,19,30,15,91,7,12,14,16,52,11,8,28,14,75,10,9.0,13,14,32,12,6,7,11,56,5,5,2,4,14,2,2,2,4,13,2,2,6,1,5,1,1,2,-,4,1,-,3,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1472,Monehta(ST),MMR016008
