Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,632,1172,1293,1178,1287,1377,1366,1473,1537,1485,1336,1230,1399,1387,1096,1474,1157,1107,1244,1143,1301,1145,1258,1304,1150,1460,1072,1140,1156,911,1259,942,1031,1045,1001,1118,784,995.0,885,728,979,776,731,661,636,845,674,739,710,606,754,511,618,620,465,572,484,513,428,388,443,238,358,250,202,318,164,183,162,142,219,109,130,131,66,139,55,66,48,49,62,34,42,26,22,88,63514,Yinmarpin,MMR005016
 Illiterate,568,90,43,24,23,15,10,11,23,12,16,18,14,33,28,39,29,26,45,26,71,36,66,70,54,102,51,65,77,58,105,56,69,81,71,101,72,86.0,93,78,154,101,100,107,87,130,79,99,72,57,114,68,78,53,51,122,67,77,67,62,130,72,106,81,64,172,71,79,80,48,149,54,52,86,49,90,36,42,43,25,52,13,25,15,10,59,6003,Yinmarpin,MMR005016
 Total,1200,1262,1336,1202,1310,1392,1376,1484,1560,1497,1352,1248,1413,1420,1124,1513,1186,1133,1289,1169,1372,1181,1324,1374,1204,1562,1123,1205,1233,969,1364,998,1100,1126,1072,1219,856,1081.0,978,806,1133,877,831,768,723,975,753,838,782,663,868,579,696,673,516,694,551,590,495,450,573,310,464,331,266,490,235,262,242,190,368,163,182,217,115,229,91,108,91,74,114,47,67,41,32,147,69517,Yinmarpin,MMR005016
