Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,933,2225,2856,2588,2627,2916,2794,2995,3304,3269,3138,3001,3356,3776,3143,4163,3249,3355,3229,2741,3864,2715,3376,3322,2978,4077,2580,3019,3055,2387,3622,2241,2860,2985,2480,3226,2164,2844.0,2777,1969,3389,1787,2485,2348,1928,2423,1644,1872,1948,1513,2163,1275,1709,1549,1236,1702,1099,1264,1295,844,1383,606,1059,739,523,891,459,554,534,343,830,251,350,388,212,363,195,252,246,152,253,121,130,94,54,291,164945,Monywa,MMR005012
 Illiterate,1565,323,114,71,54,44,44,49,53,51,52,58,70,99,61,136,70,112,124,90,176,96,139,150,100,253,109,157,167,117,300,119,207,204,168,266,124,217.0,238,137,406,141,250,208,146,287,103,163,175,101,258,101,141,143,98,260,129,174,184,115,298,107,224,132,103,344,118,158,185,128,381,116,175,179,101,262,89,115,113,65,153,46,58,37,26,158,14138,Monywa,MMR005012
 Total,2498,2548,2970,2659,2681,2960,2838,3044,3357,3320,3190,3059,3426,3875,3204,4299,3319,3467,3353,2831,4040,2811,3515,3472,3078,4330,2689,3176,3222,2504,3922,2360,3067,3189,2648,3492,2288,3061.0,3015,2106,3795,1928,2735,2556,2074,2710,1747,2035,2123,1614,2421,1376,1850,1692,1334,1962,1228,1438,1479,959,1681,713,1283,871,626,1235,577,712,719,471,1211,367,525,567,313,625,284,367,359,217,406,167,188,131,80,449,179083,Monywa,MMR005012
