Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,666,1869,2061,2094,2055,2077,2061,2386,2577,2455,2383,2445,2597,3027,2660,3227,2692,2803,2705,2562,2887,2361,2504,2754,2446,3160,2068,2380,2327,2076,2454,1905,2030,2457,1972,2343,1646,2073.0,2039,1674,2155,1554,1629,1675,1375,1801,1135,1283,1430,1110,1425,1027,1028,1025,792,1107,638,742,726,553,898,487,665,482,272,414,213,286,272,207,394,199,178,202,105,220,95,112,102,91,112,69,75,31,47,144,123540,Chanmyatharzi,MMR010004
 Illiterate,1306,259,116,76,60,29,38,40,59,49,43,41,48,71,54,74,55,62,64,75,81,64,73,77,53,120,60,78,95,80,140,74,88,109,75,132,79,107.0,96,70,143,81,94,138,62,136,64,78,84,68,95,62,61,86,60,132,56,68,85,69,159,48,74,93,46,129,38,70,80,53,116,64,63,70,26,95,36,38,45,23,61,23,21,15,15,73,7666,Chanmyatharzi,MMR010004
 Total,1972,2128,2177,2170,2115,2106,2099,2426,2636,2504,2426,2486,2645,3098,2714,3301,2747,2865,2769,2637,2968,2425,2577,2831,2499,3280,2128,2458,2422,2156,2594,1979,2118,2566,2047,2475,1725,2180.0,2135,1744,2298,1635,1723,1813,1437,1937,1199,1361,1514,1178,1520,1089,1089,1111,852,1239,694,810,811,622,1057,535,739,575,318,543,251,356,352,260,510,263,241,272,131,315,131,150,147,114,173,92,96,46,62,217,131206,Chanmyatharzi,MMR010004
