Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,760,1537,1688,1674,1681,1918,1757,1919,1929,1861,1667,1542,1616,1807,1514,2038,1565,1584,1548,1510,1882,1481,1610,1737,1552,1911,1367,1576,1483,1290,1729,1348,1374,1526,1344,1510,1094,1376.0,1356,1184,1446,1087,1173,1194,993,1225,884,947,927,886,1086,758,813,733,617,773,515,500,566,434,571,376,418,309,201,353,197,239,206,186,316,168,146,161,77,125,106,87,72,58,98,57,44,38,30,93,85134,Myitthar,MMR010015
 Illiterate,1044,218,100,65,36,42,28,44,38,44,45,41,44,81,59,94,57,66,78,72,116,92,105,100,92,148,95,124,123,126,186,108,116,139,109,163,102,145.0,136,125,197,129,121,200,123,175,90,104,98,103,146,102,105,101,84,178,75,119,133,113,191,74,120,94,64,158,67,87,60,77,155,58,76,85,41,100,28,47,55,46,62,44,31,28,10,65,9165,Myitthar,MMR010015
 Total,1804,1755,1788,1739,1717,1960,1785,1963,1967,1905,1712,1583,1660,1888,1573,2132,1622,1650,1626,1582,1998,1573,1715,1837,1644,2059,1462,1700,1606,1416,1915,1456,1490,1665,1453,1673,1196,1521.0,1492,1309,1643,1216,1294,1394,1116,1400,974,1051,1025,989,1232,860,918,834,701,951,590,619,699,547,762,450,538,403,265,511,264,326,266,263,471,226,222,246,118,225,134,134,127,104,160,101,75,66,40,158,94299,Myitthar,MMR010015
