Read_and_write,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42.0,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,304,1007,1127,1182,1164,1178,1142,1164,1132,1069,980,1025,885,1087,884,1089,829,895,798,765,888,761,715,839,696,949,632,731,657,596,739,554,565,655,612,707,548,736.0,554,532,695,549,463,610,433,577,398,463,450,376,493,370,323,305,271,368,222,204,211,157,268,152,182,121,94,165,67,103,99,82,144,81,36,68,43,70,28,33,50,33,44,28,13,14,6,45,43379,Shwegyin,MMR007008
 Illiterate,996,249,106,58,34,42,22,30,29,37,40,28,30,57,34,64,37,52,37,34,63,31,42,52,38,96,48,59,59,39,67,39,56,57,60,83,30,72.0,43,39,81,43,35,63,32,74,32,39,43,31,58,41,32,29,17,83,24,36,35,18,59,30,31,32,20,53,14,23,28,24,47,22,14,16,8,38,7,9,9,9,9,8,3,7,5,24,4484,Shwegyin,MMR007008
 Total,1300,1256,1233,1240,1198,1220,1164,1194,1161,1106,1020,1053,915,1144,918,1153,866,947,835,799,951,792,757,891,734,1045,680,790,716,635,806,593,621,712,672,790,578,808.0,597,571,776,592,498,673,465,651,430,502,493,407,551,411,355,334,288,451,246,240,246,175,327,182,213,153,114,218,81,126,127,106,191,103,50,84,51,108,35,42,59,42,53,36,16,21,11,69,47863,Shwegyin,MMR007008
