Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
*,Yes,No,Total
 Urban,2,359,361
 Rural,24,408,432
 Total,26,767,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,79,1146,1225
 Rural,2,276,278
 Total,81,1422,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,25,286,311
 Rural,47,1875,1922
 Total,72,2161,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,50,2761,2811
 Rural,73,7859,7932
 Total,123,10620,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,172,172
 Rural,14,293,307
 Total,14,465,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2,406,408
 Rural,14,1297,1311
 Total,16,1703,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,69,70
 Rural,9,1632,1641
 Total,10,1701,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,359,360
 Rural,4,579,583
 Total,5,938,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,-,245,245
 Total,-,269,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1067,9355,10422
 Rural,411,15662,16073
 Total,1478,25017,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,92,1045,1137
 Rural,356,13854,14210
 Total,448,14899,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,43,810,853
 Rural,16,5041,5057
 Total,59,5851,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,16,320,336
 Rural,3,1067,1070
 Total,19,1387,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,51,788,839
 Rural,2,748,750
 Total,53,1536,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,53,541,594
 Rural,84,4055,4139
 Total,137,4596,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,3,1104,1107
 Total,3,1299,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,-,292,292
 Rural,-,200,200
 Total,-,492,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1300,13468,14768
 Rural,2720,71709,74429
 Total,4020,85177,89197
NotApp :,1176,*,*
