Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,102,2274,2376
 Rural,658,23747,24405
 Total,760,26021,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2804,26011,28815
 Rural,589,29153,29742
 Total,3393,55164,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,370,3236,3606
 Rural,593,28148,28741
 Total,963,31384,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,445,4023,4468
 Rural,907,33517,34424
 Total,1352,37540,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,724,5757,6481
 Rural,392,29827,30219
 Total,1116,35584,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,349,3917,4266
 Rural,531,31153,31684
 Total,880,35070,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,356,4162,4518
 Rural,604,28442,29046
 Total,960,32604,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,700,7464,8164
 Rural,413,28049,28462
 Total,1113,35513,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,609,5126,5735
 Rural,855,36894,37749
 Total,1464,42020,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,390,2312,2702
 Rural,417,27775,28192
 Total,807,30087,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,263,2537,2800
 Rural,459,28635,29094
 Total,722,31172,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,422,3545,3967
 Rural,125,14118,14243
 Total,547,17663,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,710,3932,4642
 Rural,582,40545,41127
 Total,1292,44477,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,238,2142,2380
 Rural,589,30318,30907
 Total,827,32460,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,744,4840,5584
 Rural,259,24743,25002
 Total,1003,29583,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2718,17152,19870
 Rural,1117,47690,48807
 Total,3835,64842,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,612,10064,10676
 Rural,678,21146,21824
 Total,1290,31210,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,875,9526,10401
 Rural,1351,32866,34217
 Total,2226,42392,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,761,9294,10055
 Rural,1528,48680,50208
 Total,2289,57974,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,157,1589,1746
 Rural,818,34384,35202
 Total,975,35973,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,445,2729,3174
 Rural,856,44396,45252
 Total,1301,47125,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,672,8518,9190
 Rural,675,33952,34627
 Total,1347,42470,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,164,1290,1454
 Rural,991,37319,38310
 Total,1155,38609,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,94,885,979
 Rural,303,11175,11478
 Total,397,12060,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,319,2467,2786
 Rural,1407,51412,52819
 Total,1726,53879,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,19,1506,1525
 Rural,65,9190,9255
 Total,84,10696,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,277,4286,4563
 Rural,125,21284,21409
 Total,402,25570,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,377,2604,2981
 Rural,372,28269,28641
 Total,749,30873,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,163,1107,1270
 Rural,728,14811,15539
 Total,891,15918,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,91,1203,1294
 Rural,608,17241,17849
 Total,699,18444,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1024,10601,11625
 Rural,368,45616,45984
 Total,1392,56217,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,65,1216,1281
 Rural,636,26767,27403
 Total,701,27983,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1772,17297,19069
 Rural,1385,45886,47271
 Total,3157,63183,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,636,4263,4899
 Rural,1039,41394,42433
 Total,1675,45657,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,444,1357,1801
 Rural,1257,50583,51840
 Total,1701,51940,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,309,1392,1701
 Rural,946,36318,37264
 Total,1255,37710,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,201,1928,2129
 Rural,661,20637,21298
 Total,862,22565,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,417,2841,3258
 Rural,693,25961,26654
 Total,1110,28802,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,25,1098,1123
 Rural,375,9034,9409
 Total,400,10132,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5,1256,1261
 Rural,198,6866,7064
 Total,203,8122,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,23,1117,1140
 Rural,300,6169,6469
 Total,323,7286,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4255,45476,49731
 Total,4255,45476,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5950,27331,33281
 Total,5950,27331,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3958,37969,41927
 Total,3958,37969,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2904,50143,53047
 Total,2904,50143,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1965,41910,43875
 Total,1965,41910,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,699,15931,16630
 Rural,687,32309,32996
 Total,1386,48240,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,368,2334,2702
 Rural,1114,49174,50288
 Total,1482,51508,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2159,29782,31941
 Rural,598,20843,21441
 Total,2757,50625,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,693,4618,5311
 Rural,1474,51860,53334
 Total,2167,56478,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,115,1617,1732
 Rural,1592,31209,32801
 Total,1707,32826,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,942,15744,16686
 Rural,643,17918,18561
 Total,1585,33662,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,86,1102,1188
 Rural,1052,23509,24561
 Total,1138,24611,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,178,1615,1793
 Rural,149,5450,5599
 Total,327,7065,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,567,7924,8491
 Rural,502,48772,49274
 Total,1069,56696,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,236,1544,1780
 Rural,554,31245,31799
 Total,790,32789,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,283,4063,4346
 Rural,680,40991,41671
 Total,963,45054,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,297,2355,2652
 Rural,501,29474,29975
 Total,798,31829,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1420,17477,18897
 Rural,1294,42149,43443
 Total,2714,59626,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,595,3268,3863
 Rural,1328,44661,45989
 Total,1923,47929,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,369,2473,2842
 Rural,1658,36465,38123
 Total,2027,38938,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1566,7447,9013
 Rural,1293,51655,52948
 Total,2859,59102,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,147,1510,1657
 Rural,1025,25156,26181
 Total,1172,26666,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,694,8821,9515
 Rural,913,34234,35147
 Total,1607,43055,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,47,1392,1439
 Rural,322,8050,8372
 Total,369,9442,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,499,4828,5327
 Rural,737,51195,51932
 Total,1236,56023,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,685,6189,6874
 Rural,1110,50879,51989
 Total,1795,57068,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2199,21764,23963
 Rural,1017,43459,44476
 Total,3216,65223,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,370,2741,3111
 Rural,1603,28613,30216
 Total,1973,31354,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,496,4224,4720
 Rural,881,39291,40172
 Total,1377,43515,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,511,6789,7300
 Rural,1668,44601,46269
 Total,2179,51390,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3553,46181,49734
 Rural,179,7544,7723
 Total,3732,53725,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,121,2055,2176
 Rural,1581,35131,36712
 Total,1702,37186,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,176,1568,1744
 Rural,1159,25041,26200
 Total,1335,26609,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1047,10668,11715
 Rural,944,23575,24519
 Total,1991,34243,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,833,9959,10792
 Rural,872,27648,28520
 Total,1705,37607,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,507,5606,6113
 Rural,659,23219,23878
 Total,1166,28825,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,144,2823,2967
 Rural,587,15085,15672
 Total,731,17908,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,124,654,778
 Rural,131,3909,4040
 Total,255,4563,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,723,9983,10706
 Rural,1279,36299,37578
 Total,2002,46282,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,329,5573,5902
 Rural,1585,36239,37824
 Total,1914,41812,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,426,7090,7516
 Rural,1210,29362,30572
 Total,1636,36452,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,331,3713,4044
 Rural,899,34288,35187
 Total,1230,38001,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1372,17534,18906
 Rural,128,10002,10130
 Total,1500,27536,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,48,2418,2466
 Rural,473,22396,22869
 Total,521,24814,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,74,2396,2470
 Rural,521,27553,28074
 Total,595,29949,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,15,1495,1510
 Rural,979,21852,22831
 Total,994,23347,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,281,6993,7274
 Rural,723,33528,34251
 Total,1004,40521,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,222,3617,3839
 Rural,753,31903,32656
 Total,975,35520,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,185,4430,4615
 Rural,558,31455,32013
 Total,743,35885,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,30,2588,2618
 Rural,539,28182,28721
 Total,569,30770,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,131,2183,2314
 Rural,138,4938,5076
 Total,269,7121,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,45,2017,2062
 Rural,214,8988,9202
 Total,259,11005,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5,153,158
 Rural,2,346,348
 Total,7,499,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,432,3822,4254
 Rural,498,32512,33010
 Total,930,36334,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,16,1290,1306
 Rural,315,13114,13429
 Total,331,14404,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,46,2202,2248
 Rural,187,19983,20170
 Total,233,22185,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,51,1827,1878
 Rural,825,24656,25481
 Total,876,26483,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,392,2958,3350
 Rural,831,26894,27725
 Total,1223,29852,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,480,5698,6178
 Rural,436,18625,19061
 Total,916,24323,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,44,2444,2488
 Rural,258,8499,8757
 Total,302,10943,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,68,1147,1215
 Rural,253,8485,8738
 Total,321,9632,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,69,1406,1475
 Rural,249,4357,4606
 Total,318,5763,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4760,56916,61676
 Total,4760,56916,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2414,39227,41641
 Rural,748,23914,24662
 Total,3162,63141,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,399,5543,5942
 Rural,1178,49349,50527
 Total,1577,54892,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,874,7875,8749
 Rural,1437,47837,49274
 Total,2311,55712,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1242,19117,20359
 Rural,1412,45228,46640
 Total,2654,64345,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,147,1909,2056
 Rural,960,31195,32155
 Total,1107,33104,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1918,56593,58511
 Rural,239,15025,15264
 Total,2157,71618,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3203,100604,103807
 Rural,981,43923,44904
 Total,4184,144527,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5497,37823,43320
 Total,5497,37823,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4093,10544,14637
 Total,4093,10544,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4461,28264,32725
 Total,4461,28264,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3195,61561,64756
 Total,3195,61561,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2254,43202,45456
 Total,2254,43202,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,554,13855,14409
 Total,554,13855,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,7268,28092,35360
 Total,7268,28092,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3530,6776,10306
 Total,3530,6776,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2728,5669,8397
 Total,2728,5669,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2592,74392,76984
 Total,2592,74392,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3789,38915,42704
 Total,3789,38915,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,699,31196,31895
 Rural,47,1971,2018
 Total,746,33167,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,684,33488,34172
 Rural,98,3635,3733
 Total,782,37123,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5029,20889,25918
 Total,5029,20889,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1341,17368,18709
 Rural,1065,41823,42888
 Total,2406,59191,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,637,9227,9864
 Rural,874,22238,23112
 Total,1511,31465,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,741,6015,6756
 Rural,1513,31818,33331
 Total,2254,37833,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,739,7139,7878
 Rural,1267,30169,31436
 Total,2006,37308,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,750,8447,9197
 Rural,1990,40415,42405
 Total,2740,48862,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,171,2060,2231
 Rural,1128,26433,27561
 Total,1299,28493,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,465,3493,3958
 Rural,936,23458,24394
 Total,1401,26951,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,703,24628,25331
 Rural,283,12298,12581
 Total,986,36926,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,388,7341,7729
 Total,388,7341,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2,349,351
 Total,2,349,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,381,2109,2490
 Rural,50,6953,7003
 Total,431,9062,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3027,3093,6120
 Total,3027,3093,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3195,3368,6563
 Total,3195,3368,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4213,4386,8599
 Total,4213,4386,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2239,2234,4473
 Total,2239,2234,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2659,8284,10943
 Total,2659,8284,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2958,20104,23062
 Total,2958,20104,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5570,15065,20635
 Total,5570,15065,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5892,26945,32837
 Total,5892,26945,32837
NotApp :,851,*,*
AREA # 120409,Kamayut,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4029,12270,16299
 Total,4029,12270,16299
NotApp :,1002,*,*
AREA # 120410,Mayangon,*,*
