Urban_Rural,Television_Yes,Television_No,Television_Total
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,850,390,1240
 Rural,12968,11527,24495
 Total,13818,11917,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1485,922,2407
 Rural,8979,11488,20467
 Total,10464,12410,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,694,383,1077
 Rural,8974,12022,20996
 Total,9668,12405,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,180,316,496
 Rural,1506,2188,3694
 Total,1686,2504,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,346,278,624
 Rural,1412,2241,3653
 Total,1758,2519,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,15873,5675,21548
 Rural,15203,17598,32801
 Total,31076,23273,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,790,352,1142
 Rural,10762,21084,31846
 Total,11552,21436,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2137,1434,3571
 Rural,6288,8666,14954
 Total,8425,10100,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,718,408,1126
 Rural,5755,13048,18803
 Total,6473,13456,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,510,701,1211
 Rural,2283,3634,5917
 Total,2793,4335,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,10020,2560,12580
 Rural,6024,6877,12901
 Total,16044,9437,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,657,390,1047
 Rural,3137,4692,7829
 Total,3794,5082,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,905,1450,2355
 Rural,1266,1244,2510
 Total,2171,2694,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,137,578,715
 Rural,69,2320,2389
 Total,206,2898,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,181,105,286
 Rural,1511,1965,3476
 Total,1692,2070,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,37907,16985,54892
 Rural,21890,30350,52240
 Total,59797,47335,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2083,1546,3629
 Rural,11339,17559,28898
 Total,13422,19105,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2492,1762,4254
 Rural,16264,25557,41821
 Total,18756,27319,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2983,2063,5046
 Rural,13488,18549,32037
 Total,16471,20612,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7805,5257,13062
 Rural,8683,23017,31700
 Total,16488,28274,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4291,2582,6873
 Rural,13603,31172,44775
 Total,17894,33754,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4957,3783,8740
 Rural,13404,23609,37013
 Total,18361,27392,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3549,1316,4865
 Rural,5303,11614,16917
 Total,8852,12930,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,17119,4781,21900
 Rural,16264,19296,35560
 Total,33383,24077,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4396,1559,5955
 Rural,19274,25298,44572
 Total,23670,26857,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,883,1375,2258
 Rural,6321,14304,20625
 Total,7204,15679,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,9319,4508,13827
 Rural,14599,26505,41104
 Total,23918,31013,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2162,1047,3209
 Rural,13358,20303,33661
 Total,15520,21350,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1317,1059,2376
 Rural,9311,15094,24405
 Total,10628,16153,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,23348,5467,28815
 Rural,16884,12858,29742
 Total,40232,18325,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2618,988,3606
 Rural,11713,17028,28741
 Total,14331,18016,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3311,1157,4468
 Rural,18941,15483,34424
 Total,22252,16640,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4185,2296,6481
 Rural,11158,19061,30219
 Total,15343,21357,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2825,1441,4266
 Rural,14719,16965,31684
