Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1127,20773,21900
 Rural,309,35251,35560
 Total,1436,56024,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,244,5711,5955
 Rural,446,44126,44572
 Total,690,49837,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,48,2210,2258
 Rural,88,20537,20625
 Total,136,22747,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,377,13450,13827
 Rural,189,40915,41104
 Total,566,54365,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,73,3136,3209
 Rural,222,33439,33661
 Total,295,36575,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,61,2315,2376
 Rural,127,24278,24405
 Total,188,26593,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1338,27477,28815
 Rural,387,29355,29742
 Total,1725,56832,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,177,3429,3606
 Rural,236,28505,28741
 Total,413,31934,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,171,4297,4468
 Rural,287,34137,34424
 Total,458,38434,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,182,6299,6481
 Rural,103,30116,30219
 Total,285,36415,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,70,4196,4266
 Rural,150,31534,31684
 Total,220,35730,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,127,4391,4518
 Rural,163,28883,29046
 Total,290,33274,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,224,7940,8164
 Rural,112,28350,28462
 Total,336,36290,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,166,5569,5735
 Rural,100,37649,37749
 Total,266,43218,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,78,2624,2702
 Rural,124,28068,28192
 Total,202,30692,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,64,2736,2800
 Rural,124,28970,29094
 Total,188,31706,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,100,3867,3967
 Rural,53,14190,14243
 Total,153,18057,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,164,4478,4642
 Rural,110,41017,41127
 Total,274,45495,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,37,2343,2380
 Rural,55,30852,30907
 Total,92,33195,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,186,5398,5584
 Rural,95,24907,25002
 Total,281,30305,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1400,18470,19870
 Rural,377,48430,48807
 Total,1777,66900,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,321,10355,10676
 Rural,138,21686,21824
 Total,459,32041,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,398,10003,10401
 Rural,310,33907,34217
 Total,708,43910,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,258,9797,10055
 Rural,242,49966,50208
 Total,500,59763,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,40,1706,1746
 Rural,141,35061,35202
 Total,181,36767,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,115,3059,3174
 Rural,224,45028,45252
 Total,339,48087,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,457,8733,9190
 Rural,327,34300,34627
 Total,784,43033,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,69,1385,1454
 Rural,374,37936,38310
 Total,443,39321,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,26,953,979
 Rural,120,11358,11478
 Total,146,12311,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,91,2695,2786
 Rural,316,52503,52819
 Total,407,55198,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,37,1488,1525
 Rural,31,9224,9255
 Total,68,10712,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,146,4417,4563
 Rural,94,21315,21409
 Total,240,25732,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,214,2767,2981
 Rural,548,28093,28641
 Total,762,30860,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,48,1222,1270
 Rural,52,15487,15539
 Total,100,16709,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,25,1269,1294
 Rural,106,17743,17849
 Total,131,19012,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,437,11188,11625
 Rural,349,45635,45984
 Total,786,56823,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,34,1247,1281
 Rural,179,27224,27403
 Total,213,28471,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1094,17975,19069
 Rural,635,46636,47271
 Total,1729,64611,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,148,4751,4899
 Rural,225,42208,42433
 Total,373,46959,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,122,1679,1801
 Rural,743,51097,51840
 Total,865,52776,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,101,1600,1701
 Rural,456,36808,37264
 Total,557,38408,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,98,2031,2129
 Rural,178,21120,21298
 Total,276,23151,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,160,3098,3258
 Rural,333,26321,26654
 Total,493,29419,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,1102,1123
 Rural,75,9334,9409
 Total,96,10436,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,25,1236,1261
 Rural,71,6993,7064
 Total,96,8229,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,40,1100,1140
 Rural,55,6414,6469
 Total,95,7514,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6444,43287,49731
 Total,6444,43287,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6800,26481,33281
 Total,6800,26481,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6811,35116,41927
 Total,6811,35116,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6520,46527,53047
 Total,6520,46527,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,4024,39851,43875
 Total,4024,39851,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1097,15533,16630
 Rural,1808,31188,32996
 Total,2905,46721,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,266,2436,2702
 Rural,2004,48284,50288
 Total,2270,50720,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3280,28661,31941
 Rural,1108,20333,21441
 Total,4388,48994,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,381,4930,5311
 Rural,576,52758,53334
 Total,957,57688,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,60,1672,1732
 Rural,463,32338,32801
 Total,523,34010,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,945,15741,16686
 Rural,473,18088,18561
 Total,1418,33829,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,26,1162,1188
 Rural,395,24166,24561
 Total,421,25328,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,67,1726,1793
 Rural,82,5517,5599
 Total,149,7243,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,726,7765,8491
 Rural,641,48633,49274
 Total,1367,56398,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,215,1565,1780
 Rural,722,31077,31799
 Total,937,32642,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,319,4027,4346
 Rural,481,41190,41671
 Total,800,45217,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,232,2420,2652
 Rural,410,29565,29975
 Total,642,31985,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,886,18011,18897
 Rural,295,43148,43443
 Total,1181,61159,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,191,3672,3863
 Rural,357,45632,45989
 Total,548,49304,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,144,2698,2842
 Rural,407,37716,38123
 Total,551,40414,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,674,8339,9013
 Rural,407,52541,52948
 Total,1081,60880,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,37,1620,1657
 Rural,212,25969,26181
 Total,249,27589,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,760,8755,9515
 Rural,510,34637,35147
 Total,1270,43392,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,32,1407,1439
 Rural,131,8241,8372
 Total,163,9648,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,280,5047,5327
 Rural,338,51594,51932
 Total,618,56641,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,394,6480,6874
 Rural,361,51628,51989
 Total,755,58108,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1578,22385,23963
 Rural,547,43929,44476
 Total,2125,66314,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,154,2957,3111
 Rural,475,29741,30216
 Total,629,32698,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,183,4537,4720
 Rural,424,39748,40172
 Total,607,44285,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,330,6970,7300
 Rural,534,45735,46269
 Total,864,52705,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3306,46428,49734
 Rural,223,7500,7723
 Total,3529,53928,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,83,2093,2176
 Rural,838,35874,36712
 Total,921,37967,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,30,1714,1744
 Rural,241,25959,26200
 Total,271,27673,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,518,11197,11715
 Rural,567,23952,24519
 Total,1085,35149,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,692,10100,10792
 Rural,651,27869,28520
 Total,1343,37969,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,220,5893,6113
 Rural,293,23585,23878
 Total,513,29478,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,72,2895,2967
 Rural,314,15358,15672
 Total,386,18253,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,20,758,778
 Rural,70,3970,4040
 Total,90,4728,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,400,10306,10706
 Rural,468,37110,37578
 Total,868,47416,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,172,5730,5902
 Rural,574,37250,37824
 Total,746,42980,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,297,7219,7516
 Rural,418,30154,30572
 Total,715,37373,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,164,3880,4044
 Rural,255,34932,35187
 Total,419,38812,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,491,18415,18906
 Rural,53,10077,10130
 Total,544,28492,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,11,2455,2466
 Rural,6,22863,22869
 Total,17,25318,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,2463,2470
 Rural,13,28061,28074
 Total,20,30524,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2,1508,1510
 Rural,22,22809,22831
 Total,24,24317,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,79,7195,7274
 Rural,40,34211,34251
 Total,119,41406,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,31,3808,3839
 Rural,75,32581,32656
 Total,106,36389,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,27,4588,4615
 Rural,59,31954,32013
 Total,86,36542,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,2613,2618
 Rural,28,28693,28721
 Total,33,31306,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,73,2241,2314
 Rural,33,5043,5076
 Total,106,7284,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,36,2026,2062
 Rural,14,9188,9202
 Total,50,11214,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2,156,158
 Rural,-,348,348
 Total,2,504,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,113,4141,4254
 Rural,98,32912,33010
 Total,211,37053,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,39,1267,1306
 Rural,37,13392,13429
 Total,76,14659,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,33,2215,2248
 Rural,30,20140,20170
 Total,63,22355,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,55,1823,1878
 Rural,100,25381,25481
 Total,155,27204,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,109,3241,3350
 Rural,324,27401,27725
 Total,433,30642,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,158,6020,6178
 Rural,57,19004,19061
 Total,215,25024,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,38,2450,2488
 Rural,58,8699,8757
 Total,96,11149,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,1208,1215
 Rural,12,8726,8738
 Total,19,9934,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,22,1453,1475
 Rural,18,4588,4606
 Total,40,6041,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5539,56137,61676
 Total,5539,56137,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3080,38561,41641
 Rural,1065,23597,24662
 Total,4145,62158,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,362,5580,5942
 Rural,1273,49254,50527
 Total,1635,54834,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,584,8165,8749
 Rural,1175,48099,49274
 Total,1759,56264,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,578,19781,20359
 Rural,236,46404,46640
 Total,814,66185,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,73,1983,2056
 Rural,325,31830,32155
 Total,398,33813,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2431,56080,58511
 Rural,345,14919,15264
 Total,2776,70999,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3422,100385,103807
 Rural,646,44258,44904
 Total,4068,144643,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6765,36555,43320
 Total,6765,36555,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3650,10987,14637
 Total,3650,10987,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5541,27184,32725
 Total,5541,27184,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,4977,59779,64756
 Total,4977,59779,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3884,41572,45456
 Total,3884,41572,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,968,13441,14409
 Total,968,13441,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,8064,27296,35360
 Total,8064,27296,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2664,7642,10306
 Total,2664,7642,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2143,6254,8397
 Total,2143,6254,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3702,73282,76984
 Total,3702,73282,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6360,36344,42704
 Total,6360,36344,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1714,30181,31895
 Rural,48,1970,2018
 Total,1762,32151,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,963,33209,34172
 Rural,140,3593,3733
 Total,1103,36802,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,4602,21316,25918
 Total,4602,21316,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1325,17384,18709
 Rural,815,42073,42888
 Total,2140,59457,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,372,9492,9864
 Rural,210,22902,23112
 Total,582,32394,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,256,6500,6756
 Rural,272,33059,33331
 Total,528,39559,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,266,7612,7878
 Rural,202,31234,31436
 Total,468,38846,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,256,8941,9197
 Rural,278,42127,42405
 Total,534,51068,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,75,2156,2231
 Rural,133,27428,27561
 Total,208,29584,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,105,3853,3958
 Rural,106,24288,24394
 Total,211,28141,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,271,25060,25331
 Rural,95,12486,12581
 Total,366,37546,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,38,7691,7729
 Total,38,7691,7729
NotApp :,39,*,*
