Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
 Urban,286,4162,4448
 Rural,332,20118,20450
 Total,618,24280,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,491,6365,6856
 Rural,1907,24371,26278
 Total,2398,30736,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,202,4339,4541
 Rural,89,4802,4891
 Total,291,9141,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,31,999,1030
 Rural,21,2447,2468
 Total,52,3446,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,582,8933,9515
 Rural,470,14176,14646
 Total,1052,23109,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,139,3263,3402
 Rural,293,12133,12426
 Total,432,15396,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,36,2054,2090
 Rural,276,6268,6544
 Total,312,8322,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,84,1534,1618
 Rural,560,8376,8936
 Total,644,9910,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,10,351,361
 Rural,15,417,432
 Total,25,768,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,110,1115,1225
 Rural,6,272,278
 Total,116,1387,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6,305,311
 Rural,74,1848,1922
 Total,80,2153,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,60,2751,2811
 Rural,10,7922,7932
 Total,70,10673,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
