Urban_Rural,Computer_Yes,Computer_No,Computer_Total
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,39,800,839
 Rural,-,750,750
 Total,39,1550,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,16,578,594
 Rural,29,4110,4139
 Total,45,4688,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,195,195
 Rural,4,1103,1107
 Total,4,1298,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5,287,292
 Rural,2,198,200
 Total,7,485,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1625,13143,14768
 Rural,1480,72949,74429
 Total,3105,86092,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,107,2172,2279
 Rural,242,29065,29307
 Total,349,31237,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,126,2936,3062
 Rural,9,2738,2747
 Total,135,5674,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,10,797,807
 Rural,91,16880,16971
 Total,101,17677,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,-,83,83
 Rural,6,3667,3673
 Total,6,3750,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,19,588,607
 Rural,22,9297,9319
 Total,41,9885,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,14,422,436
 Rural,8,2961,2969
 Total,22,3383,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,29,604,633
 Rural,21,1890,1911
 Total,50,2494,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,36,2713,2749
 Rural,4,1205,1209
 Total,40,3918,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1419,22597,24016
 Rural,424,16818,17242
 Total,1843,39415,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3,72,75
 Rural,9,977,986
 Total,12,1049,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5,572,577
 Rural,9,1111,1120
 Total,14,1683,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,333,8149,8482
 Rural,734,36282,37016
 Total,1067,44431,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,86,1731,1817
 Rural,207,20016,20223
 Total,293,21747,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,409,5687,6096
 Rural,62,11637,11699
 Total,471,17324,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,16,664,680
 Rural,25,10028,10053
 Total,41,10692,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,460,4761,5221
 Rural,22,4674,4696
 Total,482,9435,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,108,1399,1507
 Rural,104,8171,8275
 Total,212,9570,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,167,1835,2002
 Rural,36,6390,6426
 Total,203,8225,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,192,2058,2250
 Rural,305,12128,12433
 Total,497,14186,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,60,580,640
 Rural,7,2764,2771
 Total,67,3344,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,27,643,670
 Rural,11,517,528
 Total,38,1160,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,7,208,215
 Rural,4,1311,1315
 Total,11,1519,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,126,2217,2343
 Rural,16,6163,6179
 Total,142,8380,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,101,1569,1670
 Rural,18,5948,5966
 Total,119,7517,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,47,760,807
 Rural,10,3160,3170
 Total,57,3920,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,112,1238,1350
 Rural,24,11919,11943
 Total,136,13157,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,7,455,462
 Rural,10,2049,2059
 Total,17,2504,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4,629,633
 Rural,14,5576,5590
 Total,18,6205,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1060,15436,16496
 Rural,482,48165,48647
 Total,1542,63601,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,187,3444,3631
 Rural,91,21582,21673
 Total,278,25026,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,77,1876,1953
 Rural,111,22198,22309
 Total,188,24074,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,897,12634,13531
 Rural,272,36444,36716
 Total,1169,49078,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,88,2203,2291
 Rural,97,30236,30333
 Total,185,32439,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,132,2174,2306
 Rural,212,44194,44406
 Total,344,46368,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,232,4951,5183
 Rural,322,55821,56143
 Total,554,60772,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,131,2368,2499
 Rural,55,18309,18364
 Total,186,20677,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,235,3730,3965
 Rural,76,22332,22408
 Total,311,26062,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,50,905,955
 Rural,178,29212,29390
 Total,228,30117,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,169,2803,2972
 Rural,138,32827,32965
 Total,307,35630,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,49,2257,2306
 Rural,18,4726,4744
 Total,67,6983,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3612,36794,40406
 Rural,557,34999,35556
 Total,4169,71793,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,102,1091,1193
 Rural,122,27301,27423
 Total,224,28392,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,70,2085,2155
 Rural,129,33307,33436
 Total,199,35392,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,157,4924,5081
 Rural,123,18172,18295
 Total,280,23096,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,381,4882,5263
 Rural,110,26588,26698
 Total,491,31470,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,125,1717,1842
 Rural,175,21213,21388
 Total,300,22930,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,135,2935,3070
 Rural,118,23201,23319
 Total,253,26136,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,82,1130,1212
 Rural,87,17569,17656
 Total,169,18699,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,243,4326,4569
 Rural,319,26515,26834
 Total,562,30841,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,101,2489,2590
 Rural,66,11549,11615
 Total,167,14038,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,98,1371,1469
 Rural,58,20373,20431
 Total,156,21744,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1650,24071,25721
 Rural,474,46574,47048
 Total,2124,70645,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,87,1866,1953
 Rural,27,9755,9782
 Total,114,11621,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,55,781,836
 Rural,68,21154,21222
 Total,123,21935,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
