Urban_Rural,Computer_Yes,Computer_No,Computer_Total
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,171,4347,4518
 Rural,186,28860,29046
 Total,357,33207,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,284,7880,8164
 Rural,58,28404,28462
 Total,342,36284,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,204,5531,5735
 Rural,87,37662,37749
 Total,291,43193,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,95,2607,2702
 Rural,94,28098,28192
 Total,189,30705,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,103,2697,2800
 Rural,127,28967,29094
 Total,230,31664,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,142,3825,3967
 Rural,28,14215,14243
 Total,170,18040,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,195,4447,4642
 Rural,89,41038,41127
 Total,284,45485,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,57,2323,2380
 Rural,59,30848,30907
 Total,116,33171,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,257,5327,5584
 Rural,69,24933,25002
 Total,326,30260,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2001,17869,19870
 Rural,292,48515,48807
 Total,2293,66384,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,407,10269,10676
 Rural,48,21776,21824
 Total,455,32045,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,346,10055,10401
 Rural,138,34079,34217
 Total,484,44134,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,413,9642,10055
 Rural,211,49997,50208
 Total,624,59639,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,72,1674,1746
 Rural,72,35130,35202
 Total,144,36804,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,157,3017,3174
 Rural,100,45152,45252
 Total,257,48169,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,519,8671,9190
 Rural,237,34390,34627
 Total,756,43061,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,96,1358,1454
 Rural,241,38069,38310
 Total,337,39427,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,51,928,979
 Rural,90,11388,11478
 Total,141,12316,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,130,2656,2786
 Rural,217,52602,52819
 Total,347,55258,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,54,1471,1525
 Rural,8,9247,9255
 Total,62,10718,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,193,4370,4563
 Rural,77,21332,21409
 Total,270,25702,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,110,2871,2981
 Rural,296,28345,28641
 Total,406,31216,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,48,1222,1270
 Rural,39,15500,15539
 Total,87,16722,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,42,1252,1294
 Rural,63,17786,17849
 Total,105,19038,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,449,11176,11625
 Rural,203,45781,45984
 Total,652,56957,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,31,1250,1281
 Rural,67,27336,27403
 Total,98,28586,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1180,17889,19069
 Rural,638,46633,47271
 Total,1818,64522,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,202,4697,4899
 Rural,241,42192,42433
 Total,443,46889,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,132,1669,1801
 Rural,299,51541,51840
 Total,431,53210,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,91,1610,1701
 Rural,143,37121,37264
 Total,234,38731,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,119,2010,2129
 Rural,104,21194,21298
 Total,223,23204,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,192,3066,3258
 Rural,279,26375,26654
 Total,471,29441,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,39,1084,1123
 Rural,36,9373,9409
 Total,75,10457,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,40,1221,1261
 Rural,42,7022,7064
 Total,82,8243,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,22,1118,1140
 Rural,24,6445,6469
 Total,46,7563,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6064,43667,49731
 Total,6064,43667,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6731,26550,33281
 Total,6731,26550,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5683,36244,41927
 Total,5683,36244,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5527,47520,53047
 Total,5527,47520,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2677,41198,43875
 Total,2677,41198,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1049,15581,16630
 Rural,967,32029,32996
 Total,2016,47610,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,381,2321,2702
 Rural,1342,48946,50288
 Total,1723,51267,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3480,28461,31941
 Rural,526,20915,21441
 Total,4006,49376,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,292,5019,5311
 Rural,337,52997,53334
 Total,629,58016,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,71,1661,1732
 Rural,307,32494,32801
 Total,378,34155,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1057,15629,16686
 Rural,337,18224,18561
 Total,1394,33853,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,32,1156,1188
 Rural,327,24234,24561
 Total,359,25390,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,36,1757,1793
 Rural,10,5589,5599
 Total,46,7346,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,886,7605,8491
 Rural,634,48640,49274
 Total,1520,56245,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,157,1623,1780
 Rural,638,31161,31799
 Total,795,32784,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,224,4122,4346
 Rural,250,41421,41671
 Total,474,45543,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,193,2459,2652
 Rural,160,29815,29975
 Total,353,32274,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,888,18009,18897
 Rural,193,43250,43443
 Total,1081,61259,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,151,3712,3863
 Rural,198,45791,45989
 Total,349,49503,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,115,2727,2842
 Rural,148,37975,38123
 Total,263,40702,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,502,8511,9013
 Rural,229,52719,52948
 Total,731,61230,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,63,1594,1657
 Rural,92,26089,26181
 Total,155,27683,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,678,8837,9515
 Rural,266,34881,35147
 Total,944,43718,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,18,1421,1439
 Rural,40,8332,8372
 Total,58,9753,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,337,4990,5327
 Rural,169,51763,51932
 Total,506,56753,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,343,6531,6874
 Rural,199,51790,51989
 Total,542,58321,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1663,22300,23963
 Rural,593,43883,44476
 Total,2256,66183,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,140,2971,3111
 Rural,236,29980,30216
 Total,376,32951,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,226,4494,4720
 Rural,294,39878,40172
 Total,520,44372,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,249,7051,7300
 Rural,208,46061,46269
 Total,457,53112,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3780,45954,49734
 Rural,253,7470,7723
 Total,4033,53424,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,75,2101,2176
 Rural,397,36315,36712
 Total,472,38416,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,79,1665,1744
 Rural,397,25803,26200
 Total,476,27468,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,562,11153,11715
 Rural,456,24063,24519
 Total,1018,35216,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,517,10275,10792
 Rural,454,28066,28520
 Total,971,38341,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,307,5806,6113
 Rural,295,23583,23878
 Total,602,29389,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,108,2859,2967
 Rural,326,15346,15672
 Total,434,18205,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,20,758,778
 Rural,31,4009,4040
 Total,51,4767,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,548,10158,10706
 Rural,522,37056,37578
 Total,1070,47214,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,194,5708,5902
 Rural,482,37342,37824
 Total,676,43050,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,351,7165,7516
 Rural,443,30129,30572
 Total,794,37294,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,166,3878,4044
 Rural,263,34924,35187
 Total,429,38802,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1453,17453,18906
 Rural,155,9975,10130
 Total,1608,27428,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,75,2391,2466
 Rural,33,22836,22869
 Total,108,25227,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,64,2406,2470
 Rural,36,28038,28074
 Total,100,30444,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,83,1427,1510
 Rural,142,22689,22831
 Total,225,24116,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,184,7090,7274
 Rural,159,34092,34251
 Total,343,41182,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,161,3678,3839
 Rural,194,32462,32656
 Total,355,36140,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,129,4486,4615
 Rural,124,31889,32013
 Total,253,36375,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,116,2502,2618
 Rural,103,28618,28721
 Total,219,31120,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,190,2124,2314
 Rural,104,4972,5076
 Total,294,7096,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,105,1957,2062
 Rural,94,9108,9202
 Total,199,11065,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3,155,158
 Rural,1,347,348
 Total,4,502,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,296,3958,4254
 Rural,170,32840,33010
 Total,466,36798,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,73,1233,1306
 Rural,44,13385,13429
 Total,117,14618,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,78,2170,2248
 Rural,30,20140,20170
 Total,108,22310,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,67,1811,1878
 Rural,165,25316,25481
 Total,232,27127,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,218,3132,3350
 Rural,326,27399,27725
 Total,544,30531,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,272,5906,6178
 Rural,57,19004,19061
 Total,329,24910,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,88,2400,2488
 Rural,41,8716,8757
 Total,129,11116,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,22,1193,1215
 Rural,16,8722,8738
 Total,38,9915,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,38,1437,1475
 Rural,37,4569,4606
 Total,75,6006,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,8286,53390,61676
 Total,8286,53390,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4408,37233,41641
 Rural,1282,23380,24662
 Total,5690,60613,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,444,5498,5942
 Rural,1669,48858,50527
 Total,2113,54356,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,778,7971,8749
 Rural,1353,47921,49274
 Total,2131,55892,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,636,19723,20359
 Rural,268,46372,46640
 Total,904,66095,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,52,2004,2056
 Rural,256,31899,32155
 Total,308,33903,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2971,55540,58511
 Rural,416,14848,15264
 Total,3387,70388,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4093,99714,103807
 Rural,750,44154,44904
 Total,4843,143868,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,8570,34750,43320
 Total,8570,34750,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4767,9870,14637
 Total,4767,9870,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6447,26278,32725
 Total,6447,26278,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6906,57850,64756
 Total,6906,57850,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,5264,40192,45456
 Total,5264,40192,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1313,13096,14409
 Total,1313,13096,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,12194,23166,35360
 Total,12194,23166,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4241,6065,10306
 Total,4241,6065,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,3354,5043,8397
 Total,3354,5043,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4223,72761,76984
 Total,4223,72761,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,8598,34106,42704
 Total,8598,34106,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2211,29684,31895
 Rural,31,1987,2018
 Total,2242,31671,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1999,32173,34172
 Rural,40,3693,3733
 Total,2039,35866,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6655,19263,25918
 Total,6655,19263,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2103,16606,18709
 Rural,1205,41683,42888
 Total,3308,58289,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,499,9365,9864
 Rural,169,22943,23112
 Total,668,32308,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,300,6456,6756
 Rural,304,33027,33331
 Total,604,39483,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,282,7596,7878
 Rural,244,31192,31436
 Total,526,38788,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,351,8846,9197
 Rural,240,42165,42405
 Total,591,51011,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,91,2140,2231
 Rural,172,27389,27561
 Total,263,29529,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,118,3840,3958
 Rural,98,24296,24394
 Total,216,28136,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1026,24305,25331
 Rural,134,12447,12581
 Total,1160,36752,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,198,7531,7729
 Total,198,7531,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,15,336,351
 Total,15,336,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,53,2437,2490
 Rural,14,6989,7003
 Total,67,9426,9493
NotApp :,57,*,*
AREA # 120401,Kyauktada,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2794,3326,6120
 Total,2794,3326,6120
NotApp :,412,*,*
AREA # 120402,Pabedan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2192,4371,6563
 Total,2192,4371,6563
NotApp :,145,*,*
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4058,4541,8599
 Total,4058,4541,8599
NotApp :,607,*,*
AREA # 120404,Latha,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,1720,2753,4473
 Total,1720,2753,4473
NotApp :,510,*,*
AREA # 120405,Ahlon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4041,6902,10943
 Total,4041,6902,10943
NotApp :,503,*,*
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,4820,18242,23062
 Total,4820,18242,23062
NotApp :,182,*,*
AREA # 120407,Sangyoung,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,9029,11606,20635
 Total,9029,11606,20635
NotApp :,1228,*,*
AREA # 120408,Hline,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,9641,23196,32837
 Total,9641,23196,32837
NotApp :,851,*,*
AREA # 120409,Kamayut,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,7220,9079,16299
 Total,7220,9079,16299
NotApp :,1002,*,*
AREA # 120410,Mayangon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,8991,29816,38807
 Total,8991,29816,38807
NotApp :,891,*,*
AREA # 120411,Dagon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,2200,2408,4608
 Total,2200,2408,4608
NotApp :,176,*,*
AREA # 120412,Bahan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6307,11119,17426
 Total,6307,11119,17426
NotApp :,1076,*,*
AREA # 120413,Seikkan,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,53,357,410
 Total,53,357,410
NotApp :,67,*,*
AREA # 130101,Taunggyi,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,6404,50244,56648
 Rural,301,25655,25956
 Total,6705,75899,82604
NotApp :,922,*,*
AREA # 130102,Nyaungshwe,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,349,2710,3059
 Rural,320,39255,39575
 Total,669,41965,42634
NotApp :,550,*,*
AREA # 130103,Hopon,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,270,4266,4536
 Rural,88,20104,20192
 Total,358,24370,24728
NotApp :,246,*,*
AREA # 130104,Hsihseng,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,117,2532,2649
 Rural,208,29914,30122
 Total,325,32446,32771
NotApp :,323,*,*
AREA # 130105,Kalaw,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,942,11656,12598
 Rural,283,28460,28743
 Total,1225,40116,41341
NotApp :,409,*,*
AREA # 130106,Pindaya,*,*
Urban/Rural,Computer,*,*
*,Yes,No,Total
 Urban,150,2109,2259
 Rural,76,15209,15285
 Total,226,17318,17544
NotApp :,214,*,*
AREA # 130107,Ywarngan,*,*
