Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
AREA # 010201,Mohnyin,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,560,5793,6353
 Rural,11419,12418,23837
 Total,11979,18211,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,705,3743,4448
 Rural,9280,11170,20450
 Total,9985,14913,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,35,6821,6856
 Rural,1972,24306,26278
 Total,2007,31127,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,699,3842,4541
 Rural,2781,2110,4891
 Total,3480,5952,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,366,664,1030
 Rural,1054,1414,2468
 Total,1420,2078,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,496,9019,9515
 Rural,5478,9168,14646
 Total,5974,18187,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,323,3079,3402
 Rural,6770,5656,12426
 Total,7093,8735,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,512,1578,2090
 Rural,2206,4338,6544
 Total,2718,5916,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,391,1227,1618
 Rural,2189,6747,8936
 Total,2580,7974,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,175,186,361
 Rural,161,271,432
 Total,336,457,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,9,1216,1225
 Rural,1,277,278
 Total,10,1493,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,52,259,311
 Rural,291,1631,1922
 Total,343,1890,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1091,1720,2811
 Rural,4032,3900,7932
 Total,5123,5620,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,104,68,172
 Rural,129,178,307
 Total,233,246,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,131,277,408
 Rural,874,437,1311
 Total,1005,714,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,8,62,70
 Rural,436,1205,1641
 Total,444,1267,1711
NotApp :,2,*,*
